sn,text,Sentiment
0,MP to study new Motor Act before implementing it: CM Kamal Nath,Negative
1,Bhujbal says higher power rate driving industries away,Negative
2,Mandira Bedi shares a monochrome picture in a blazer; captions; 'Patloon kaise bhooley?',Negative
3,Harassment in office: DM seeks action-taken report by November-end,Negative
4,Two students end their lives,Negative
5,Chinmayanand case: Court summons BJP leaders in extortion case,Negative
6,Boy drowns in ditch filled with water at an abandoned site,Negative
7,7 more die from AES in Bihar; Bhagalpur reports 3 deaths,Negative
8,Eight trains to be cancelled in Patna on Tuesday,Negative
9,Police 'pick up; thrash' murder informant's dad,Negative
10,Shortage of psychiatrists may tone down Punjab's drug rehab drive,Negative
11,Cops express their point of view over adherence to human rights while policing,Negative
12,Vijayawada: Doctors clash with accident victim's kin,Negative
13,CPM wants temple built again; writes to Centre,Negative
14,'Delhi takht' line a bid to regain Maratha strongman image?,Negative
15,Ahmedabad: Only 16 elephants to take part in Yatra,Negative
16,Cyclone Bulbul: Pilots at Sagar Island help evacuees,Negative
17,8;916 property tax defaulters owe 3 crore to Chandigarh civic body,Negative
18,Kolkata: Hawkers thrash Lake activist,Negative
19,14-year-old girl raped; strangled to death in UP's Shamli,Negative
20,teen lands from ne for job raped by 3 men over 3 days,Negative
21,Bihar: Highway robbers' gang busted; three arrested,Negative
22,Cocaine run halted; Rs 61 lakh haul seized in Gujarat,Negative
23,Woman with heroin worth Rs 30 lakh held from Rajdhani Express,Negative
24,Doctors execute dual-lobe live liver transplant in Pune,Negative
25,Bru body threatens strike in Tripura from tomorrow,Negative
26,Duty calls for Alia Bhatt this Diwali,Negative
27,Police warn against celebration; criticism,Negative
28,Strawberry finch spotted in Mysuru,Negative
29,Final NRC list: Just one day left; families still being called in for hearings in Assam,Negative
30,Retired Mumbai cop gets 3 years' rigorous imprisonment for sexually assaulting minor,Negative
31,Guntur: Man found hanging; kin blame wife,Negative
32,Video: After nailing a clear-cut backflip; Salman Khan races a horse and defeats it,Negative
33,Hyderabad's infrastructure cannot withstand rain fury,Negative
34,Man arrested for kidnapping child,Negative
35,My mistake was that I showed my emotional vulnerability; says Sakshi,Negative
36,Rebuked; jawan shoots havildar; kills self in Tamil Nadu,Negative
37,Chopper delayed; BS Yediyurappa fumes,Negative
38,Save Charminar from Plastic; Spitting; Garbage;etc,Negative
39,Office etiquette: Diwali party rules,Negative
40,Doctors strike: Protests rock corporate hospitals,Negative
41,Nishank lauds Modi govt for abrogating Article 370,Negative
42,Jungle of electric wires and cables,Negative
43,Woman held for posing as IPS officer in Ahmedabad,Negative
44,Asha Bhosle: Lata didi ke saath gaane mein darr lagta tha,Negative
45,Corpn to discuss waste disposal at Chennai meeting,Negative
46,These mobile users will not have to pay more for data; calls,Negative
47,Govt plans Aadhaar-based digitised-health-data vault,Negative
48,Kolkata: Tallah Bridge razing likely from January 4,Negative
49,KV teacher killed in accident at Kadri,Negative
50,Rowdy politics; lack of education behind growing acts of statue vandalism: Intellectuals,Negative
51,1.5 lakh 'speed' challans on NH-9 waived,Negative
52,Wazirpur murder: 2 get police remand,Negative
53,Congress threatens protests over THDC selling,Negative
54,Need to improve awareness about consumer rights: CPAC,Negative
55,child sex ratio tilts in favour of girls in himachal dist,Negative
56,11 bumps in 800m fail to shield residents from speed devils in Kolkata,Negative
57,Brazilian man arrested with Rs 20 crore cocaine at Mumbai airport,Negative
58,At Rs 1 lakh; India's bank deposit insurance lowest in world,Negative
59,Pune cops get new surveillance system to track criminals,Negative
60,Even Lord Ganesha chooses Freeway,Negative
61,Delhi: PIL against odd-even questions exemptions,Negative
62,GoAir flight from Bengaluru diverts to Hyderabad for runway closure,Negative
63,Mumbai: Critical tuberculosis patient dies even as family hunts for A+ blood all day,Negative
64,parking with arrogance,Negative
65,Gas leak; blast at food-chain outlet; three injured,Negative
66,Ahmedabad: 'Why weren't documents checked?',Negative
67,PSC relents on disabled candidates,Negative
68,Women who lost husbands in manholes team up to run sewer cleaning firm,Negative
69,Rana Kapoor sells 1.8% more stake in Yes Bank,Negative
70,Maharashtra elections: Mumbai slid into poll apathy while Delhi held its appetite,Negative
71,Andhra Pradesh high court stays order nixing Polavaram power project,Negative
72,Stinking Viman Nagar,Negative
73,volentiarly reparing the road by sdpi members,Negative
74,Ahmedabad: Cylinder delivery man attempts to molest 15-year-old,Negative
75,I-T department never harassed Siddhartha; only did its job,Negative
76,Wildlife officials begin collecting data on pet shops; aquariums,Negative
77,Marriage not enough to quash rape charge: Delhi high court,Negative
78,Encephalitis outrage: One more child dies at SKMCH,Negative
79,Kolkata: Visva-Bharati can't meet NGT norms; junks mela,Negative
80,PWD starts erecting retaining wall on Adyar river bank at Jaffarkhanpet,Negative
81,Gurugram: Slab fell off flyover months ago; but repair yet to begin,Negative
82,Two arrested for stealing mobile phones; cash,Negative
83,Chandigarh: TikTok star Sonali alleges assault by sister,Negative
84,Dog dies out of shock due to firecrackers; 10 missing in Panchkula,Negative
85,Kidney scam: One more panel may be formed,Negative
86,We have separate tumbler at tea shop; separate time at ration shop,Negative
87,Corruption charges against VCs a blot on civilization: Guv,Negative
88,explore if jewar airport can have 8 runways yogi adityanath,Negative
89,Shift kids of DPS East to DPS Bopal,Negative
90,Five killed in Dibrugarh house fire,Negative
91,BMC demolishes building but not cleared debris,Negative
92,JEE language row: Mamata hits out at discrimination,Negative
93,SC throws out Sajjan Kumar's bail plea,Negative
94,5 Foods that have a higher risk of causing food poisoning,Negative
95,New site likely for Howrah water jetty,Negative
96,Reliance Jio begins charging for calls to other networks,Negative
97,Sewer overflow,Negative
98,Bhopal: Hollywood shoot hinders traffic; ambulance stuck in jam,Negative
99,Koilamma written update; June 13; 2019: Kokila fails to reveal the truth,Negative
100,Lighter rain in store for Ahmedabad; Vadodara for four days,Negative
101,Delhi: Two men on bike flee with cop's phone,Negative
102,Only 30% of Goa's 18-23 youth in college; far behind Sikkim's 54%,Negative
103,Aurangabad: 4 dead; 2 hurt after car rams into tree,Negative
104,Four in a chakkdo from Talod killed in accident near Modasa,Negative
105,14 films to slug it out in PIFF's global section,Negative
106,Murder of democracy: Puducherry CM on twist in Maharashtra government formation,Negative
107,BMW floats for an hour at Gurugram's IFFCO Chowk; driver crawls out via window,Negative
108,Gujarat DFS to submit report in Noida home guard salary fraud,Negative
109,Anti-CAA protests: Students pledge to fight on with song and slogan,Negative
110,Sona Mohapatra takes a dig at Anu Malik as he prepares to make a comeback on television,Negative
111,Trump terms South Korea-US joint military exercise 'unnecessary',Negative
112,Chennai: Accident victim to get compensation after 20-year delay,Negative
113,Surat fire tragedy: Bhargav Butani submits dubious affidavits for bail,Negative
114,drug dept seizes allopathic medicines from unregistered unani clinic but quacks manage to flee,Negative
115,Parking meant for divyangs shifted for installing plaques at HC,Negative
116,Dangerous travel on NH 34,Negative
117,Sushant Singh Rajput on marriage rumours with his alleged GF Rhea Chakraborty,Negative
118,Shiv Sena MP Arvind Sawant to quit as Union minister,Negative
119,Cow; three calves found dead inside Kaushambi's temporary shelter,Negative
120,Two arrested in Balangir bank fraud case,Negative
121,Tamil Nadu asks NGOs to run schools in tribal regions to deter dropouts,Negative
122,When Apple co-founder Steve Jobs allegedly made weird phone calls to a rival CEO,Negative
123,Gold worth Rs 23 Lakh recovered from three Pakistani citizens at Munabao Station,Negative
124,Madhya Pradesh: PLA veteran Wang Qi's visa cut by half; family unhappy,Negative
125,224-room Northeast hostel soon at JNU; to cost Rs 11 crore,Negative
126,Mylapore woman stabbed by kin of son's ex-wife,Negative
127,Six more booked for bid to extort Rs 3 crore from MLA,Negative
128,Karthika Deepam written update; June 13; 2019: Anand Rao attempts to reunite Karthik and Deepa,Negative
129,Village head; six block officials booked for graft,Negative
130,Medical course admission criteria under SC scrutiny,Negative
131,Jaipu: Anti-squatter drive in Walled City soon,Negative
132,PWD submits Majerhat foundation drawings to ER for speedy approval,Negative
133,Bill to regulate surrogacy tabled in LS,Negative
134,Madras CJ quits protesting transfer to Meghalaya HC,Negative
135,No mobile net in parts of Iran ahead of protests,Negative
136,Physical education teacher held for sexual assault on two students,Negative
137,Engineering admission list to reflect the deep divide in CET scores,Negative
138,Chandigarh-Amritsar train to halt at Kharar,Negative
139,Check illegal affordable houses in villages; Uttar Pradesh-Rera tells agencies,Negative
140,Water spills from Mithi Khadi creek at Parvat; others below danger mark,Negative
141,Smriti Irani seeks diet calendar for children at anganwadis,Negative
142,Khataara Autorickshaw,Negative
143,Maharashtra government gets railway land for Dharavi project,Negative
144,Telangana: Temporary RTC workers demand jobs,Negative
145,Who will clear this ?,Negative
146,FDA team raids illegal 'mineral water' plant; serves notice,Negative
147,Total Disregard for Safety,Negative
148,From Saturday; buy a ticket to visit Arjuna's Penance,Negative
149,Panels and live wires lying in open; outages add to Ardee City's woes,Negative
150,Weight loss story: This girl lost 15 kilos by working out at home. Here is what she did,Negative
151,Pune wall collapse: Lookout notice for three realtors,Negative
152,Medical tests of P Chidambaram conducted inside CBI headquarters: Sources,Negative
153,Brothers leave path of destruction in Germany,Negative
154,Pune: Two dead; 21 hurt after earthmover ploughs into palkhi procession,Negative
155,School bag must not be more than 10% of child's body weight,Negative
156,ED can quiz P Chidambaram in jail; arrest him if required; says court,Negative
157,I am in a Ravichandran film; but I have no scenes with him,Negative
158,A play about weight-loss goals,Negative
159,Tamil Nadu Real Estate Regulatory Authority directs developer to return seven percent excess GST to homebuyer,Negative
160,uncleared garage,Negative
161,People scared; law & order situation worrying: Arvind Kejriwal,Negative
162,Footpath for e-rickshaws,Negative
163,Petrol; diesel on fire; cross Rs 80 and Rs 70 a litre in Maharashtra,Negative
164,Coalition leaders' desperate bid to tap family sentiment fails,Negative
165,'Won't withdraw strike till government agrees to our demand',Negative
166,Vadnagar civil hospital turns medical hub in just 3 years,Negative
167,Goa government ready to settle; offers Fomento Rs 6 crore to exit Sonsoddo site,Negative
168,Hunger strike at Gurudwara,Negative
169,15 cops of one station suspended for illegal slaughter links; a day after CM visit,Negative
170,HSCAP Kerala Plus One first list of vacancies expected soon @ hscap.kerala.gov.in,Negative
171,Kolkata: Woman thrown off bike on tram tracks; mowed down by bus,Negative
172,Gold worth Rs 27 lakh seized in a week at Munabao station,Negative
173,How green waste will keep Delhi's poor warm,Negative
174,So what if the Manhole is not covered?,Negative
175,Waterlogging: It's the same story at Vaduthala and Ayyappankavu,Negative
176,Trichy: Two die after loose soil falls on them,Negative
177,Jewellery heist: Trichy police get custody of accused Murugan,Negative
178,Kolkata: Cops stumble upon fifth bank account of Bansdroni victims,Negative
179,Bihar heatwave death toll surges to 61,Negative
180,20 Delhi schools tap sun to cut power bill to near-zero,Negative
181,India vs South Africa: 'Frustrated' Aiden Markram punches career prospects,Negative
182,TDO; clerk demand Rs 15;000 bribe to sign professional tax form,Negative
183,Why iPhone users may soon delete Google Maps,Negative
184,Badlapur: Auto workshops flooded with damaged vehicles,Negative
185,Here's the first trailer of Greta Gerwig's 'Little Women',Negative
186,Mumbai: Man held in Rs 3.5 crore cheating case,Negative
187,Senior marine pilot goes missing after falling off ladder near JNPT,Negative
188,1993 Delhi bomb blast case: Professor Devinder Pal Singh Bhullar among 8 Sikh prisoners up for release,Negative
189,Dull Metro pillars need some colours,Negative
190,Tourists leave 2;000 tonne garbage in Manali in two months,Negative
191,Cold wave conditions likely to continue in city,Negative
192,NMC may lose 163 marks for potholes in Swachh Survekshan,Negative
193,Howrah: Woman plots son's murder; paramour executes it,Negative
194,Post 'free' meal; diner flees with staffer's phone,Negative
195,Hyderabad: Doctor at Gandhi Hospital attacked by patient's kin,Negative
196,CPI-police clash in Kochi: AIYF leader arrested,Negative
197,Prisoner's death: Four cops suspended; five transferred,Negative
198,Delhi: Strong wind keeps pollutants at bay; but air is still poor,Negative
